;Large Cycle;;;Meilleure Insertion;;;PLNE;;
;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?
KEP_p100_n33_k3_l13;2 191;44;true;1 631;65;true;2 974;68 728;true
KEP_p100_n33_k3_l4;2 191;4;true;1 631;27;true;2 725;95;true
KEP_p100_n33_k3_l7;2 191;5;true;1 631;13;true;2 969;1 496;true
KEP_p100_n33_k5_l17;2 204;26;true;1 631;14;true;3 073;71 731;true
KEP_p250_n0_k3_l0;3 663;226;true;0;145;true;4 299;103;true
KEP_p250_n13_k3_l13;5 226;212;true;2 746;166;true;7 316;162 828;true
KEP_p250_n13_k3_l4;5 164;192;true;1 765;303;true;6 267;452;true
KEP_p250_n13_k3_l7;5 165;207;true;2 661;92;true;7 316;170 417;true
KEP_p250_n13_k5_l17;5 694;7 962;true;2 746;127;true;7 864;213 756;true
KEP_p250_n28_k3_l13;6 822;198;true;3 736;281;true;9 834;457 943;true
KEP_p250_n28_k3_l4;6 518;207;true;3 161;594;true;8 497;3 703;true
KEP_p250_n28_k3_l7;6 822;156;true;3 472;305;true;9 834;470 918;true
KEP_p250_n28_k5_l17;7 465;14 923;true;3 736;155;true;10 014;522 723;true
KEP_p250_n83_k3_l13;9 870;398;true;7 351;440;true;14 184;407 157;true
KEP_p250_n83_k3_l4;9 691;363;true;6 845;1 031;true;13 540;12 564;true
KEP_p250_n83_k3_l7;9 870;280;true;7 236;448;true;14 184;422 567;true
KEP_p250_n83_k5_l17;10 070;22 746;true;7 351;1 032;true;14 175;221 692;true
KEP_p50_n17_k3_l13;1 353;6;true;723;11;true;1 547;539;true
KEP_p50_n17_k3_l4;1 224;2;true;723;6;true;1 538;18;true
KEP_p50_n17_k3_l7;1 353;1;true;723;6;true;1 547;64;true
KEP_p50_n17_k5_l17;1 353;2;true;723;6;true;1 547;178;true
;;;;;;;;;
SOMME;106 100;48 160;true;62 222;5 267;true;145 244;3 209 672;true
